tipo_imovel,logradouro,bairro,numero,metragem,quartos,vaga,preco_total,longitude,latitude,ruas,latitude_utm,longitude_utm,lugares_alimentacao,lugares_servicos,outros,lugares_comercio,lugares_cultura,lugares_saude,lugares_educacao,lugares_religiosos,lugares_parques,lugares_estadios,lugares_turismo,lugares_metro_trem,lugares_transporte
apartamento,Correia Dias,Vila Mariana,102,94,2,2,1200000.0,-46.6419594,-23.5765565,correia dias,7391692.75,332436.94,263.0,88.0,12.0,136.0,65.0,140.0,77.0,88.0,23.0,0.0,97.0,401.0,4.0
apartamento,Conselheiro Brotero,Santa Cecília,41,70,2,1,0.0,-46.659033,-23.532739000000003,conselheiro brotero,7396524.99,330638.08,88.0,36.0,107.0,34.0,34.0,24.0,57.0,60.0,75.0,0.0,6.0,91.0,0.0
apartamento,Morás,Vila Madalena,4,300,3,5,3200000.0,-46.694185299999994,-23.556437699999996,moras,7393858.64,327079.86,123.0,36.0,3.0,26.0,99.0,10.0,131.0,31.0,51.0,0.0,266.0,0.0,0.0
apartamento,Consolação,República,104,40,1,1,450000.0,-46.644257200000006,-23.5474434,consolacao,7394914.02,332165.41,294.0,108.0,127.0,385.0,255.0,23.0,436.0,128.0,55.0,0.0,1079.0,442.0,0.0
apartamento,Ponta Porã,Vila Romana,11,67,2,1,450000.0,-46.7087667,-23.534582999999998,ponta pora,7396261.18,325562.44,79.0,23.0,9.0,2.0,8.0,10.0,75.0,45.0,0.0,0.0,0.0,0.0,0.0
apartamento,Visconde da Luz,Vila Olímpia,34,68,2,1,0.0,-46.6760047,-23.5937862,visconde da luz,7389744.47,328984.27,233.0,104.0,9.0,27.0,22.0,38.0,70.0,94.0,2.0,1.0,2.0,0.0,0.0
apartamento,Alcantarilla,Vila Andrade,52,70,2,2,500000.0,-46.732434000000005,-23.635077,alcantarilla,7385103.22,323280.57,24.0,40.0,2.0,66.0,1.0,18.0,0.0,10.0,13.0,0.0,0.0,12.0,0.0
apartamento,Ernesto de Oliveira,Chacara Klabin,121,327,4,4,2800000.0,-46.6246589,-23.5928676,ernesto de oliveira,7389906.63,334223.3,31.0,10.0,1.0,10.0,9.0,6.0,1.0,34.0,58.0,0.0,0.0,195.0,21.0
apartamento,Paulista,Paraíso,141,214,3,1,1705000.0,-46.64476629999999,-23.5711206,paulista,7392291.43,332143.53,288.0,203.0,93.0,289.0,132.0,152.0,77.0,132.0,82.0,0.0,97.0,404.0,0.0
apartamento,Sorocaba,Botafogo,103,56,2,0,730000.0,-43.18848633,-22.95627315,sorocaba,7460175.36,685728.11,77.0,52.0,12.0,73.0,45.0,60.0,4.0,70.0,14.0,1.0,0.0,33.0,4.0
apartamento,André Dreyfus,Perdizes,62,156,3,1,990000.0,-46.674385,-23.5414452,andre dreyfus,7395542.66,329081.82,64.0,34.0,0.0,9.0,122.0,25.0,24.0,33.0,121.0,84.0,0.0,0.0,0.0
apartamento,Campinas,Jardim Paulista,62,123,3,1,0.0,-46.656991399999995,-23.5699103,campinas,7392411.08,330894.11,285.0,204.0,82.0,267.0,323.0,72.0,0.0,38.0,105.0,160.0,97.0,170.0,0.0
apartamento,Botafogo,Botafogo,615,20,1,0,380000.0,-43.18244,-22.94493,botafogo,7461423.82,686363.71,59.0,59.0,18.0,69.0,31.0,40.0,46.0,53.0,19.0,9.0,12.0,33.0,0.0
apartamento,Tutóia,Paraíso,95,71,1,1,540000.0,-46.65092429999999,-23.5783191,tutoia,7391487.04,331524.15,216.0,50.0,85.0,110.0,277.0,97.0,20.0,29.0,29.0,160.0,100.0,0.0,0.0
apartamento,Itapiru,Saúde,62,72,3,1,510000.0,-46.635155100000006,-23.616175100000003,itapiru,7387313.38,333181.59,17.0,52.0,4.0,88.0,5.0,1.0,0.0,50.0,0.0,0.0,0.0,83.0,2.0
apartamento,Cardeal Arcoverde,Pinheiros,82,42,1,1,0.0,-46.687903000000006,-23.561441000000002,cardeal arcoverde,7393312.13,327727.73,164.0,71.0,2.0,36.0,142.0,20.0,49.0,77.0,20.0,0.0,251.0,164.0,0.0
apartamento,Taquari,Mooca,184,100,3,2,900000.0,-46.594648799999995,-23.5484483,taquari,7394859.94,337231.25,21.0,28.0,1.0,8.0,8.0,31.0,23.0,30.0,52.0,0.0,0.0,49.0,0.0
apartamento,Contos Gauchescos,Jabaquara,103,78,2,2,600000.0,-46.668327500000004,-23.6512146,contos gauchescos,7383393.97,329842.01,12.0,10.0,1.0,9.0,1.0,6.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0
apartamento,Francisco Isoldi,Vila Madalena,161,278,4,4,3750000.0,-46.694300399999996,-23.5475262,francisco isoldi,7394845.36,327056.45,98.0,32.0,1.0,16.0,43.0,5.0,16.0,30.0,31.0,0.0,161.0,75.0,6.0
apartamento,Saint Hilaire,Jardim Paulista,104,99,2,0,900000.0,-46.6539855,-23.5708966,saint hilaire,7392305.4,331202.2,299.0,226.0,82.0,265.0,249.0,131.0,0.0,76.0,180.0,160.0,0.0,170.0,0.0
apartamento,Anny,Sacomã,81,62,3,1,270000.0,-46.5864398,-23.6221484,anny,7386707.91,338159.74,3.0,11.0,1.0,20.0,5.0,7.0,2.0,22.0,3.0,0.0,0.0,0.0,0.0
apartamento,Júlio Buono,Vila Medeiros,125,60,2,2,450000.0,-46.59693529999999,-23.492386,julio buono,7401065.49,336928.75,20.0,3.0,0.0,2.0,4.0,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
apartamento,Antônio Aggio,Vila Andrade,81,350,3,3,1480000.0,-46.7304847,-23.627976899999997,antonio aggio,7385891.92,323469.93,16.0,32.0,2.0,60.0,1.0,17.0,1.0,10.0,44.0,0.0,0.0,0.0,0.0
apartamento,Franca,Jardim Paulista,71,140,3,1,1200000.0,-46.6573742,-23.5670444,franca,7392728.0,330851.37,272.0,240.0,18.0,283.0,321.0,169.0,89.0,39.0,168.0,0.0,187.0,85.0,0.0
apartamento,Tabapuã,Itaim Nobre,42,162,3,2,0.0,-46.6865382,-23.5859859,tabapua,7390595.66,327899.06,176.0,133.0,10.0,189.0,67.0,29.0,18.0,63.0,75.0,0.0,2.0,61.0,0.0
apartamento,Nossa Senhora das Mercês,Sacomã,114,40,1,1,328600.0,-46.6076096,-23.6231728,nossa senhora das merces,7386570.34,336001.0,1.0,17.0,0.0,4.0,0.0,3.0,5.0,12.0,3.0,0.0,0.0,0.0,0.0
apartamento,Iaiá,Itaim Bibi,71,65,2,2,0.0,-46.6781762,-23.5868048,iaia,7390515.0,328753.58,216.0,168.0,9.0,101.0,67.0,71.0,18.0,84.0,3.0,1.0,2.0,0.0,0.0
apartamento,Leais Paulistanos,Ipiranga,12,78,2,0,340000.0,-46.6027732,-23.578226,leais paulistanos,7391553.19,336438.71,22.0,22.0,1.0,27.0,59.0,0.0,87.0,13.0,84.0,0.0,0.0,0.0,0.0
apartamento,Jurupis,Moema Índios,121,98,3,2,1650000.0,-46.6641287,-23.6091416,jurupis,7388058.16,330216.08,138.0,71.0,0.0,62.0,6.0,82.0,29.0,89.0,12.0,0.0,1.0,141.0,0.0
apartamento,Barata Ribeiro,Copacabana,0,110,3,1,1040000.0,-43.18614456,-22.96894031,barata ribeiro,7458769.66,685950.93,73.0,62.0,16.0,96.0,16.0,45.0,1.0,91.0,12.0,0.0,12.0,33.0,0.0
apartamento,Princesa Isabel,Campo Belo,42,95,3,1,585000.0,-46.68327,-23.623103,princesa isabel,7386489.2,328280.99,48.0,104.0,1.0,4.0,7.0,9.0,0.0,45.0,14.0,2.0,0.0,93.0,0.0
apartamento,Pintassilgo,Moema Pássaros,86,45,1,1,520000.0,-46.6736119,-23.6037122,pintassilgo,7388648.12,329241.33,117.0,60.0,0.0,65.0,4.0,56.0,52.0,88.0,13.0,1.0,0.0,82.0,0.0
apartamento,Tonelero,Vila Romana,84,62,2,1,580000.0,-46.70476,-23.5310165,tonelero,7396661.0,325966.85,66.0,60.0,3.0,5.0,13.0,14.0,47.0,82.0,1.0,0.0,0.0,0.0,0.0
apartamento,Nova Cantareira,Santana,102,133,3,2,900000.0,-46.622797399999996,-23.4879953,nova cantareira,7401522.11,334281.87,48.0,31.0,3.0,11.0,5.0,23.0,9.0,34.0,21.0,0.0,0.0,23.0,0.0
apartamento,Delegado Moraes Novaes,Vila Andrade,34,71,2,2,617000.0,-46.7352068,-23.634242,delegado moraes novaes,7385192.26,322996.54,27.0,40.0,3.0,65.0,0.0,18.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0
apartamento,Odorico Mendes,Cambuci,164,42,2,1,280000.0,-46.620132899999994,-23.5561151,odorico mendes,7393981.77,334639.16,17.0,18.0,18.0,4.0,48.0,2.0,0.0,40.0,53.0,0.0,0.0,164.0,1.0
apartamento,Barão de Limeira,Bom Retiro,52,120,3,0,625000.0,-46.6485189,-23.533568399999997,barao de limeira,7396445.52,331712.67,123.0,46.0,11.0,221.0,121.0,8.0,21.0,83.0,19.0,0.0,0.0,153.0,0.0
