id_site,type,type,area,bedrooms,suits,parkingSpots,floor,complexFee,propertyTax,price,amenities,currentPhase,lat,lng,city,number,postalCode,streetName,streetType,unitNumber,neighborhood
10t2dd2,apartment,apartment,187,4,2,4,4,2864,1847.31,1920000,"['gym', 'grill', 'pool', 'playground', 'party_room', 'green_area', 'condoPowerGenerator']",ready_to_move,-23.58325630,-46.64098490,São Paulo,245,04014-020,Fabrício Vampré,Rua Doutor,41,Vila Mariana
10uumrk,apartment,apartment,68,2,1,1,3,570,108.25,450000,"['gym', 'kids', 'pool', 'heated_pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.52817960,-46.65399780,São Paulo,405,01153-040,Capistrano de Abreu,Rua,34,Bom Retiro
10vm9nc,apartment,apartment,175,3,3,2,2,2900,1576.79,2722236,"['pool', 'playground', 'party_room', 'green_area', 'condoPowerGenerator']",final_details,-23.57007540,-46.65773500,São Paulo,453,01423-010,Batataes,Rua,21,Jardim Paulista
10wk85e,apartment,apartment,110,3,0,1,8,1578,230,1200000,['party_room'],ready_to_move,-22.97407357,-43.19243570,Rio de Janeiro,135,,Barão de Ipanema,Rua,802,Copacabana
10x0jp3,apartment,apartment,175,3,3,2,5,1793,739.6,,['gym'],ready_to_move,-23.56042730,-46.66522290,São Paulo,1314,01422-004,Franca,Alameda,52,Jardim América
10ywk8h,apartment,apartment,59,2,1,1,8,600,0,470000,"['gym', 'pool', 'party_room', 'green_area']",ready_to_move,-23.51868880,-46.65554350,São Paulo,838,01138-010,Americanos,Rua dos,81,Bom Retiro
110vq04,apartment,apartment,270,4,1,4,13,3452,1172.59,1800000,"['pool', 'playground', 'sports_court', 'party_room', 'green_area', 'condoPowerGenerator']",ready_to_move,-23.62858810,-46.68809690,São Paulo,78,04603-030,Brasões,Rua dos,131,Santo Amaro
111d177,apartment,apartment,180,4,2,3,27,1450,602.18,1600000,"['grill', 'pool', 'sports_court', 'party_room', 'play_game', 'green_area', 'condoPowerGenerator']",ready_to_move,-23.53466690,-46.71880430,São Paulo,2991,05083-010,Diógenes Ribeiro de Lima,Avenida,274,Vila Leopoldina
111l75p,apartment,apartment,110,2,1,1,13,620,0,450000,"['gym', 'playground', 'sports_court', 'party_room', 'play_game']",ready_to_move,-23.56693020,-46.59147760,São Paulo,1667,03115-001,Paes de Barros,Avenida,133,Mooca
111n3sg,apartment,apartment,130,4,1,2,5,1700,281.17,1060626,"['pool', 'heated_pool', 'playground', 'party_room', 'green_area']",ready_to_move,-23.61855570,-46.67754020,São Paulo,1282,04602-005,Barão do Triunfo,Rua,52,Campo Belo
1122qt0,apartment,apartment,84,3,1,1,6,986,178.05,850000,['playground'],ready_to_move,-23.53538600,-46.68142400,São Paulo,772,05018-001,Cayowaá,Rua,61,Perdizes
112v0o1,apartment,apartment,234,3,3,3,4,1620,955.72,1700000,"['gym', 'kids', 'gourmet', 'pool', 'heated_pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.55538070,-46.73774490,São Paulo,942,05350-000,Escola Politécnica,Avenida,41,Jaguaré
112x88w,apartment,apartment,117,2,2,2,2,7075.2,1252.65,1310000,"['gym', 'pool', 'green_area']",ready_to_move,-23.56581720,-46.66030510,São Paulo,1000,01423-002,José Maria Lisboa,Rua,23,Jardim América
113tkau,apartment,apartment,118,3,1,2,8,1450,350.33,850000,"['gym', 'gourmet', 'pool', 'party_room', 'play_game']",ready_to_move,-23.59622550,-46.60380100,São Paulo,228,04215-000,Dois de Julho,Rua,81,Ipiranga
11558la,apartment,apartment,87,3,1,2,6,653,223.93,630000,"['gym', 'kids', 'pool', 'playground', 'party_room', 'play_game']",ready_to_move,-23.55687680,-46.59570000,São Paulo,346,03167-030,Capitães Mores,Rua dos,62,Mooca
115c6e2,apartment,apartment,59,1,0,1,6,735,24,498000,[],ready_to_move,-23.55218670,-46.65038560,São Paulo,282,01307-000,Frei Caneca,Rua,63,Bela Vista
115psq0,apartment,apartment,65,2,1,1,1,450,21.73,465000,"['gym', 'kids', 'gourmet', 'pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.52890170,-46.60231210,São Paulo,1077,03021-000,Catumbi,Rua,102,Belém
1160nzu,apartment,apartment,220,4,1,2,7,3030,569.66,,"['playground', 'sports_court', 'party_room', 'green_area']",ready_to_move,-23.62582520,-46.73187150,São Paulo,989,05713-460,Frederico Guarinon,Rua,71,Vila Andrade
116rw7x,apartment,apartment,49,2,0,0,0,181,0,360000,[],ready_to_move,-23.50387510,-46.64319040,São Paulo,437,02452-060,Soror Angélica,Rua,14,Casa Verde
117v7qo,apartment,apartment,142,2,2,2,2,2300,917.35,1750000,"['gym', 'grill', 'pool', 'party_room', 'green_area', 'condoPowerGenerator']",set_up,-23.53410960,-46.66405440,São Paulo,99,05004-020,Capitão Messias,Rua,22,Perdizes
119jfa6,apartment,apartment,145,3,1,2,1,1230,298.92,839402,"['gym', 'gourmet', 'pool', 'party_room']",ready_to_move,-23.60807700,-46.60204060,São Paulo,94,04285-000,Elba,Rua,12,Sacomã
119mens,apartment,apartment,65,2,0,0,2,1035,21.43,530000,[],ready_to_move,-23.55447010,-46.63875310,São Paulo,469,01317-000,Brigadeiro Luís Antônio,Avenida,23,República
11aph83,apartment,apartment,84,3,1,2,14,800,480.38,,"['gym', 'grill', 'pool', 'playground', 'sports_court', 'play_game', 'green_area']",ready_to_move,-23.59348590,-46.64130770,São Paulo,171,04021-020,Capitão Macedo,Rua,143,Vila Mariana
